"postId","userId","parentId","subject","content","contentAsHtml","contentAsText","isComment","isAlias","userAlias","writer","limitGender","isLocked","hasPoll","commentCount","likeCount","dislikeCount","reportCount","readCount","boardId","groupId","createdAt","old_tag_id","old_group_id","ip","is_consultable","updated_at"
"1","2",NULL,"테스트 글","테스트를 위한 첫글~
글이 길어질 경우에는 접어서 보여줍니다.
글 작성시 입력창을 누르면 게시 버튼이 표시되며,
내용이 길어질 경우 입력창이 자동으로 늘어납니다.","테스트를 위한 첫글~<br />
글이 길어질 경우에는 접어서 보여줍니다.<br />
글 작성시 입력창을 누르면 게시 버튼이 표시되며,<br />
내용이 길어질 경우 입력창이 자동으로 늘어납니다.","테스트를 위한 첫글~ 글이 길어질 경우에는 접어서 보여줍니다. 글 작성시 입력창을 누르면 게시 버튼이 표시되며, 내용이 길어질 경우 입력창이 자동으로 늘어납니다.","0","0",,NULL,,"0",NULL,"4","2","0",NULL,"0","1","1","2012-01-04 13:14:54","1","1",,"0","2012-01-04 13:14:54"
"2","2","1",,"테스트 목적 첫 댓글~
댓글도 길어질 경우에는 접어서 보여줍니다.
역시 입력창을 누르면 게시 버튼이 표시되며,
내용이 길어질 경우 입력창이 자동으로 늘어납니다.","테스트 목적 첫 댓글~<br />
댓글도 길어질 경우에는 접어서 보여줍니다.<br />
역시 입력창을 누르면 게시 버튼이 표시되며,<br />
내용이 길어질 경우 입력창이 자동으로 늘어납니다.","테스트 목적 첫 댓글~ 댓글도 길어질 경우에는 접어서 보여줍니다. 역시 입력창을 누르면 게시 버튼이 표시되며, 내용이 길어질 경우 입력창이 자동으로 늘어납니다.","1","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2012-01-04 13:15:49","1","1",,"0","2012-01-04 13:15:49"
"3","2","1",,"댓글 역시 좋아요를 누를 수 있습니다.","댓글 역시 좋아요를 누를 수 있습니다.","댓글 역시 좋아요를 누를 수 있습니다.","1","0",,NULL,,"0",NULL,"0","1","0",NULL,"0","1","1","2012-01-04 13:15:59","1","1",,"0","2012-01-04 13:15:59"
"4","2","1",,"댓글이 많아질 경우 가장 최근 댓글 2개만 표시되고, 댓글 모두 보기를 누르면 나머지 댓글이 전부 표시됩니다.","댓글이 많아질 경우 가장 최근 댓글 2개만 표시되고, 댓글 모두 보기를 누르면 나머지 댓글이 전부 표시됩니다.","댓글이 많아질 경우 가장 최근 댓글 2개만 표시되고, 댓글 모두 보기를 누르면 나머지 댓글이 전부 표시됩니다.","1","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2012-01-04 13:16:36","1","1",,"0","2012-01-04 13:16:36"
"5","2","1",,"익스플로러 6을 테스트하기 위한 댓글입니다.
정책상 넥메는 더이상 익스플로러 6의 호환성을 보장하지 않음에 주의해주세요.","익스플로러 6을 테스트하기 위한 댓글입니다.<br />
정책상 넥메는 더이상 익스플로러 6의 호환성을 보장하지 않음에 주의해주세요.","익스플로러 6을 테스트하기 위한 댓글입니다. 정책상 넥메는 더이상 익스플로러 6의 호환성을 보장하지 않음에 주의해주세요.","1","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2012-01-04 13:18:15","1","1",,"0","2012-01-04 13:18:15"
"6","2",NULL,,"인터넷 익스플로러에서 글 작성 테스트...
댓글은 잘 안나오네요 ㅋㅋ
글은 잘 나와야 할텐데 ㅎㅎ","인터넷 익스플로러에서 글 작성 테스트...<br />
댓글은 잘 안나오네요 ㅋㅋ<br />
글은 잘 나와야 할텐데 ㅎㅎ","인터넷 익스플로러에서 글 작성 테스트... 댓글은 잘 안나오네요 ㅋㅋ 글은 잘 나와야 할텐데 ㅎㅎ","0","0",,NULL,,"0",NULL,"1","0","0",NULL,"0","1","1","2012-01-04 13:19:04","1","1",,"0","2012-01-04 13:19:04"
"7","2","6",,"아 위는 익스플로러 6에서 한 테스트 글입니다 ㅋㅋ
익스플로러가 웹페이지 호환성 문제가 있어서 테스트하는거구요","아 위는 익스플로러 6에서 한 테스트 글입니다 ㅋㅋ<br />
익스플로러가 웹페이지 호환성 문제가 있어서 테스트하는거구요","아 위는 익스플로러 6에서 한 테스트 글입니다 ㅋㅋ 익스플로러가 웹페이지 호환성 문제가 있어서 테스트하는거구요","1","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2012-01-04 13:21:44","1","1",,"0","2012-01-04 13:21:44"
"8","2",NULL,,"익스플로러 7에서 글 작성 테스트
7에서도 댓글 작성시 동작이 약간 이상하네요 ㅠㅠ
글 작성에는 큰 문제가 없어보입니다","익스플로러 7에서 글 작성 테스트<br />
7에서도 댓글 작성시 동작이 약간 이상하네요 ㅠㅠ<br />
글 작성에는 큰 문제가 없어보입니다","익스플로러 7에서 글 작성 테스트 7에서도 댓글 작성시 동작이 약간 이상하네요 ㅠㅠ 글 작성에는 큰 문제가 없어보입니다","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2012-01-04 13:22:34","1","1",,"0","2012-01-04 13:22:34"
"9","2",NULL,,"익스플로러 8에서 글작성 테스트. 이건 한줄만 쓰기~","익스플로러 8에서 글작성 테스트. 이건 한줄만 쓰기~","익스플로러 8에서 글작성 테스트. 이건 한줄만 쓰기~","0","0",,NULL,,"0",NULL,"2","0","0",NULL,"0","1","1","2012-01-04 13:23:05","1","1",,"0","2012-01-04 13:23:05"
"10","2","9",,"익스 8에서의 댓글 테스트.
익스 8부턴 되면 좋은데 ㅋㅋㅋ
안되면 낭패...","익스 8에서의 댓글 테스트.<br />
익스 8부턴 되면 좋은데 ㅋㅋㅋ<br />
안되면 낭패...","익스 8에서의 댓글 테스트. 익스 8부턴 되면 좋은데 ㅋㅋㅋ 안되면 낭패...","1","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2012-01-04 13:23:28","1","1",,"0","2012-01-04 13:23:28"
"11","2","9",,"역시 익스플로러 8부터는 문제 없군요 ㅠㅠ
익스쓰시는 분들 브라우저 버전업좀 해주세요 ;;","역시 익스플로러 8부터는 문제 없군요 ㅠㅠ<br />
익스쓰시는 분들 브라우저 버전업좀 해주세요 ;;","역시 익스플로러 8부터는 문제 없군요 ㅠㅠ 익스쓰시는 분들 브라우저 버전업좀 해주세요 ;;","1","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2012-01-04 13:24:00","1","1",,"0","2012-01-04 13:24:00"
"12","2",NULL,,"크롬 및 사파리에서 글 작성 테스트","크롬 및 사파리에서 글 작성 테스트","크롬 및 사파리에서 글 작성 테스트","0","0",,NULL,,"0",NULL,"1","0","0",NULL,"0","1","1","2012-01-04 13:26:18","1","1",,"0","2012-01-04 13:26:18"
"13","2","12",,"잘 되는거 같네요 ㅎㅎ","잘 되는거 같네요 ㅎㅎ","잘 되는거 같네요 ㅎㅎ","1","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2012-01-04 13:26:25","1","1",,"0","2012-01-04 13:26:25"
"14","2",NULL,,"최신 브라우저인 익스플로러 '9'에서의 테스트~
익스플로러 쓰시는 여러분 버전업좀 해주세요.
넥메는 익스플로러 7 이하 버전은 정책적으로 지원하지 않습니다~
보안 문제도 많구요 ㅎㅎ","최신 브라우저인 익스플로러 '9'에서의 테스트~<br />
익스플로러 쓰시는 여러분 버전업좀 해주세요.<br />
넥메는 익스플로러 7 이하 버전은 정책적으로 지원하지 않습니다~<br />
보안 문제도 많구요 ㅎㅎ","최신 브라우저인 익스플로러 '9'에서의 테스트~ 익스플로러 쓰시는 여러분 버전업좀 해주세요. 넥메는 익스플로러 7 이하 버전은 정책적으로 지원하지 않습니다~ 보안 문제도 많구요 ㅎㅎ","0","0",,NULL,,"0",NULL,"5","1","0",NULL,"0","1","1","2012-01-04 13:31:00","1","1",,"0","2012-01-04 13:31:00"
"15","2","14",,"익스 9에서의 댓글 달기 테스트입니다
여러줄 테스트를 겸해서요","익스 9에서의 댓글 달기 테스트입니다<br />
여러줄 테스트를 겸해서요","익스 9에서의 댓글 달기 테스트입니다 여러줄 테스트를 겸해서요","1","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2012-01-04 13:31:22","1","1",,"0","2012-01-04 13:31:22"
"16","2","14",,"댓글이 많을 때를 테스트하기 위해~","댓글이 많을 때를 테스트하기 위해~","댓글이 많을 때를 테스트하기 위해~","1","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2012-01-04 13:31:37","1","1",,"0","2012-01-04 13:31:37"
"17","2","14",,"댓글이 많을 때를 테스트하기 위해~ (2)","댓글이 많을 때를 테스트하기 위해~ (2)","댓글이 많을 때를 테스트하기 위해~ (2)","1","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2012-01-04 13:31:43","1","1",,"0","2012-01-04 13:31:43"
"18","2","14",,"댓글이 많을 때를 테스트하기 위해~ (3)","댓글이 많을 때를 테스트하기 위해~ (3)","댓글이 많을 때를 테스트하기 위해~ (3)","1","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2012-01-04 13:31:49","1","1",,"0","2012-01-04 13:31:49"
